24
3
0.9 0.42 0.25
0.025
0.1
0.2
0.35
0.2
0.1
0.025
0.08
0.11
0.01
0.08
0.06
0.1
0.11
0.1
0.02
0.1
0.1
0.05
0.08
0.06
0.02
0.08
0.08
0.01
0.1
0.08
0.04
0.09
0.07
0.09
182
0 3 6 0.03
3 0 6 0.03
19 23 6 0.11
23 19 6 0.11
4 7 6 0.19
7 4 6 0.19
4 7 5 0.19
7 4 5 0.19
8 10 6 0.21
10 8 6 0.21
8 10 5 0.21
10 8 5 0.21
8 13 6 0.16
13 8 6 0.16
8 13 5 0.16
13 8 5 0.16
20 21 6 0.01
21 20 6 0.01
20 21 5 0.01
21 20 5 0.01
8 9 6 0.29
9 8 6 0.29
8 9 5 0.29
9 8 5 0.29
8 9 4 0.29
9 8 4 0.29
14 15 6 0.21
15 14 6 0.21
14 15 5 0.21
15 14 5 0.21
14 15 4 0.21
15 14 4 0.21
18 19 6 0.18
19 18 6 0.18
18 19 5 0.18
19 18 5 0.18
18 19 4 0.18
19 18 4 0.18
21 22 6 0.24
22 21 6 0.24
21 22 5 0.24
22 21 5 0.24
21 22 4 0.24
22 21 4 0.24
22 23 6 0.34
23 22 6 0.34
22 23 5 0.34
23 22 5 0.34
22 23 4 0.34
23 22 4 0.34
4 5 6 0.28
5 4 6 0.28
4 5 5 0.28
5 4 5 0.28
4 5 4 0.28
5 4 4 0.28
4 5 3 0.28
5 4 3 0.28
5 6 6 0.12
6 5 6 0.12
5 6 5 0.12
6 5 5 0.12
5 6 4 0.12
6 5 4 0.12
5 6 3 0.12
6 5 3 0.12
6 7 6 0.36
7 6 6 0.36
6 7 5 0.36
7 6 5 0.36
6 7 4 0.36
7 6 4 0.36
6 7 3 0.36
7 6 3 0.36
5 10 6 0.2
10 5 6 0.2
5 10 5 0.2
10 5 5 0.2
5 10 4 0.2
10 5 4 0.2
5 10 3 0.2
10 5 3 0.2
5 10 2 0.2
10 5 2 0.2
12 13 6 0.37
13 12 6 0.37
12 13 5 0.37
13 12 5 0.37
12 13 4 0.37
13 12 4 0.37
12 13 3 0.37
13 12 3 0.37
12 13 2 0.37
13 12 2 0.37
12 15 6 0.45
15 12 6 0.45
12 15 5 0.45
15 12 5 0.45
12 15 4 0.45
15 12 4 0.45
12 15 3 0.45
15 12 3 0.45
12 15 2 0.45
15 12 2 0.45
13 14 6 0.42
14 13 6 0.42
13 14 5 0.42
14 13 5 0.42
13 14 4 0.42
14 13 4 0.42
13 14 3 0.42
14 13 3 0.42
13 14 2 0.42
14 13 2 0.42
16 17 6 0.24
17 16 6 0.24
16 17 5 0.24
17 16 5 0.24
16 17 4 0.24
17 16 4 0.24
16 17 3 0.24
17 16 3 0.24
16 17 2 0.24
17 16 2 0.24
20 23 6 0.37
23 20 6 0.37
20 23 5 0.37
23 20 5 0.37
20 23 4 0.37
23 20 4 0.37
20 23 3 0.37
23 20 3 0.37
20 23 2 0.37
23 20 2 0.37
0 1 6 0.33
1 0 6 0.33
0 1 5 0.33
1 0 5 0.33
0 1 4 0.33
1 0 4 0.33
0 1 3 0.33
1 0 3 0.33
0 1 2 0.33
1 0 2 0.33
0 1 1 0.33
1 0 1 0.33
0 7 6 0.42
7 0 6 0.42
0 7 5 0.42
7 0 5 0.42
0 7 4 0.42
7 0 4 0.42
0 7 3 0.42
7 0 3 0.42
0 7 2 0.42
7 0 2 0.42
0 7 1 0.42
7 0 1 0.42
2 3 6 0.21
3 2 6 0.21
2 3 5 0.21
3 2 5 0.21
2 3 4 0.21
3 2 4 0.21
2 3 3 0.21
3 2 3 0.21
2 3 2 0.21
3 2 2 0.21
2 3 1 0.21
3 2 1 0.21
2 21 6 0.28
21 2 6 0.28
2 21 5 0.28
21 2 5 0.28
2 21 4 0.28
21 2 4 0.28
2 21 3 0.28
21 2 3 0.28
2 21 2 0.28
21 2 2 0.28
2 21 1 0.28
21 2 1 0.28
19
0 2
1 2
2 2
4 1
5 2
6 1
7 2
9 2
11 2
12 2
13 2
15 1
16 2
17 2
18 2
19 1
21 2
22 1
23 1
